ride_id,user_id,driver_id,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,request_time,pickup_time,dropoff_time,distance_km,duration_min,fare_rwf,status,driver_rating,driver_idle_time,surge_multiplier
R54236,U0195,D0049,-1.958964,30.05131,-1.97069,30.063631,28/06/2024 07:49,28/06/2024 07:51,28/06/2024 08:00,1.89,9,1067,completed,3.8,0,1
R41266,U0033,D0061,-1.927836,30.114441,-1.9719,30.115902,06/11/2024 09:49,06/11/2024 09:53,06/11/2024 10:12,4.9,19,1970,completed,4.4,29,1
R98781,U0097,D0051,-1.918526,30.115289,-1.979114,30.048155,03/06/2024 09:50,03/06/2024 09:52,03/06/2024 10:24,10.05,32,4218,completed,4.5,2,1.2
R54725,U0004,D0054,-1.909064,30.079795,-1.928735,30.114356,19/03/2024 22:41,19/03/2024 22:51,19/03/2024 23:08,4.42,17,2191,completed,4.2,23,1.2
R52245,U0063,D0012,-1.959098,30.057435,-1.926235,30.118064,15/01/2024 16:11,15/01/2024 16:16,15/01/2024 16:41,7.66,25,2798,completed,4,28,1
R46211,U0143,D0002,-1.91863,30.101521,-1.920183,30.114131,19/12/2024 21:28,19/12/2024 21:30,19/12/2024 21:35,1.41,5,923,completed,4.1,7,1
R86225,U0095,D0061,-1.98,30.122946,-1.911194,30.095629,20/08/2024 09:14,20/08/2024 09:19,20/08/2024 09:45,8.23,26,5938,completed,4.3,24,2
R35105,U0056,D0062,-1.947374,30.058394,-1.971472,30.111608,09/04/2024 09:11,09/04/2024 09:13,09/04/2024 09:36,6.49,23,2447,completed,3.9,1,1
R26551,U0164,D0063,-1.933815,30.11451,-1.938952,30.08195,27/01/2024 20:30,27/01/2024 20:33,27/01/2024 20:45,3.66,12,1598,completed,4.4,21,1
R29555,U0145,D0039,-1.98,30.049231,-1.923299,30.079652,25/04/2024 18:28,25/04/2024 18:37,25/04/2024 19:00,7.15,23,3968,completed,5,9,1.5
R17894,U0157,D0013,-1.923766,30.103299,-1.934162,30.100832,21/03/2024 17:44,21/03/2024 17:53,21/03/2024 17:58,1.19,5,857,completed,3.9,9,1
R69510,U0019,D0030,-1.952421,30.064939,-1.969198,30.118713,27/11/2024 09:52,27/11/2024 09:55,27/11/2024 10:13,6.26,18,2378,completed,4.4,26,1
R47828,U0113,D0016,-1.924804,30.127083,-1.949992,30.059901,11/02/2024 19:47,11/02/2024 19:53,11/02/2024 20:17,7.97,24,2891,cancelled,4.9,26,1
R86955,U0006,D0035,-1.96379,30.112803,-1.944697,30.094076,22/05/2024 18:27,22/05/2024 18:36,22/05/2024 18:49,2.97,13,1669,completed,4,10,1.2
R23710,U0042,D0043,-1.966389,30.070123,-1.902983,30.082802,20/08/2024 09:20,20/08/2024 09:28,20/08/2024 09:54,7.19,26,2657,completed,4.5,17,1
R17104,U0049,D0067,-1.912993,30.09416,-1.912743,30.082788,27/05/2024 21:07,27/05/2024 21:12,27/05/2024 21:18,1.26,6,878,completed,4.3,17,1
R39451,U0030,D0060,-1.935026,30.118466,-1.969858,30.071375,04/09/2024 13:29,04/09/2024 13:33,04/09/2024 13:54,6.51,21,3680,completed,4.3,28,1.5
R19150,U0071,D0054,-1.968725,30.127041,-1.908383,30.1034,23/10/2024 21:55,23/10/2024 22:04,23/10/2024 22:28,7.21,24,2663,completed,4,24,1
R69682,U0083,D0025,-1.926872,30.080696,-1.969428,30.115091,30/08/2024 18:24,30/08/2024 18:28,30/08/2024 18:48,6.08,20,2324,completed,3.7,30,1
R23154,U0113,D0013,-1.919754,30.092306,-1.922065,30.127519,08/02/2024 14:21,08/02/2024 14:29,08/02/2024 14:43,3.92,14,1676,completed,4.8,27,1
R51505,U0161,D0063,-1.978121,30.110756,-1.94205,30.091598,26/04/2024 19:06,26/04/2024 19:09,26/04/2024 19:24,4.54,15,3352,completed,3.9,0,1.8
R17355,U0076,D0046,-1.920671,30.090499,-1.961945,30.06768,28/03/2024 18:55,28/03/2024 19:00,28/03/2024 19:18,5.24,18,3108,completed,3.7,14,1.5
R70236,U0066,D0002,-1.925158,30.114528,-1.950932,30.057529,27/10/2024 17:44,27/10/2024 17:53,27/10/2024 18:18,6.95,25,2585,completed,5,27,1
R41091,U0098,D0074,-1.918266,30.093188,-1.975649,30.123281,21/07/2024 18:55,21/07/2024 18:57,21/07/2024 19:24,7.2,27,5320,cancelled,4.2,28,2
R40162,U0156,D0046,-1.923066,30.077844,-1.916465,30.112547,11/03/2024 07:19,11/03/2024 07:28,11/03/2024 07:39,3.93,11,1679,cancelled,4.6,2,1
R52823,U0192,D0054,-1.98,30.105631,-1.912456,30.110494,19/05/2024 14:58,19/05/2024 15:07,19/05/2024 15:35,7.53,28,2759,cancelled,4.6,10,1
R71385,U0020,D0019,-1.917524,30.079873,-1.960148,30.056651,08/01/2024 07:29,08/01/2024 07:35,08/01/2024 07:54,5.4,19,3180,completed,4.9,3,1.5
R71797,U0007,D0080,-1.973356,30.110542,-1.971989,30.140182,24/12/2024 17:07,24/12/2024 17:09,24/12/2024 17:23,3.3,14,1490,completed,5,3,1
R80457,U0035,D0050,-1.925272,30.12389,-1.907864,30.088706,20/03/2024 09:53,20/03/2024 10:01,20/03/2024 10:19,4.36,18,1808,completed,3.5,11,1
R68287,U0061,D0047,-1.934289,30.122645,-1.917261,30.08837,07/04/2024 20:05,07/04/2024 20:10,07/04/2024 20:25,4.25,15,2662,completed,5,1,1.5
R41925,U0033,D0073,-1.914723,30.110867,-1.973618,30.050009,29/04/2024 08:50,29/04/2024 08:52,29/04/2024 09:22,9.41,30,3323,completed,5,17,1
R32871,U0029,D0004,-1.972268,30.079615,-1.936578,30.079252,15/05/2024 19:26,15/05/2024 19:29,15/05/2024 19:44,3.97,15,2029,completed,4.2,11,1.2
R24293,U0116,D0065,-1.921364,30.08154,-1.942458,30.091826,25/11/2024 07:30,25/11/2024 07:38,25/11/2024 07:47,2.61,9,1283,completed,4.2,29,1
R20589,U0083,D0078,-1.975981,30.076989,-1.973634,30.048394,14/07/2024 22:18,14/07/2024 22:28,14/07/2024 22:40,3.19,12,1457,cancelled,4.7,3,1
R95316,U0197,D0071,-1.920775,30.105656,-1.965577,30.062256,31/07/2024 16:27,31/07/2024 16:33,31/07/2024 16:55,6.93,22,2579,completed,4.5,15,1
R21188,U0024,D0056,-1.930012,30.115902,-1.913617,30.090985,17/06/2024 19:22,17/06/2024 19:30,17/06/2024 19:44,3.32,14,2693,completed,3.6,9,1.8
R56090,U0027,D0074,-1.917524,30.097715,-1.914444,30.107602,11/10/2024 20:17,11/10/2024 20:22,11/10/2024 20:29,1.15,7,1268,completed,5,26,1.5
R98470,U0165,D0072,-1.945537,30.083372,-1.950801,30.064745,28/06/2024 20:09,28/06/2024 20:17,28/06/2024 20:22,2.15,5,2290,completed,4.4,0,2
R79531,U0056,D0049,-1.965546,30.060921,-1.924454,30.124429,17/10/2024 07:09,17/10/2024 07:11,17/10/2024 07:40,8.41,29,3023,completed,4.2,13,1
R67939,U0107,D0035,-1.926179,30.108879,-1.915468,30.100856,06/09/2024 15:02,06/09/2024 15:10,06/09/2024 15:19,1.49,9,947,cancelled,3.5,9,1
R27987,U0196,D0033,-1.95608,30.059958,-1.96611,30.129067,29/09/2024 22:35,29/09/2024 22:42,29/09/2024 23:05,7.76,23,5656,completed,3.6,0,2
R20205,U0081,D0074,-1.964529,30.065242,-1.971368,30.116481,15/06/2024 18:29,15/06/2024 18:36,15/06/2024 18:53,5.74,17,2222,completed,3.9,18,1
R20308,U0102,D0040,-1.967671,30.12969,-1.924832,30.068824,18/09/2024 20:22,18/09/2024 20:26,18/09/2024 20:52,8.27,26,2981,completed,3.9,5,1
R95918,U0020,D0023,-1.903929,30.086158,-1.928818,30.126786,16/10/2024 16:55,16/10/2024 17:02,16/10/2024 17:18,5.3,16,2090,completed,4.2,20,1
R46002,U0152,D0008,-1.921813,30.089388,-1.919398,30.0959,26/05/2024 20:54,26/05/2024 21:04,26/05/2024 21:09,1,5,1200,completed,4.3,25,1.5
R15376,U0116,D0074,-1.91832,30.110022,-1.957676,30.134208,24/06/2024 08:32,24/06/2024 08:36,24/06/2024 08:51,5.14,15,3676,completed,4.2,14,1.8
R89928,U0041,D0047,-1.916801,30.094391,-1.947138,30.052838,19/11/2024 08:21,19/11/2024 08:31,19/11/2024 08:51,5.72,20,2216,completed,3.9,27,1
R88997,U0039,D0043,-1.972382,30.051668,-1.971036,30.120497,05/12/2024 18:45,05/12/2024 18:51,05/12/2024 19:17,7.65,26,4192,completed,4.7,26,1.5
R99838,U0135,D0012,-1.965211,30.060802,-1.917116,30.093427,05/09/2024 08:09,05/09/2024 08:15,05/09/2024 08:39,6.46,24,2438,cancelled,4.3,17,1
R79013,U0010,D0044,-1.928444,30.094468,-1.975106,30.078086,15/11/2024 11:46,15/11/2024 11:48,15/11/2024 12:06,5.5,18,3870,completed,4.6,14,1.8
R68841,U0060,D0069,-1.91755,30.07955,-1.943536,30.055104,13/12/2024 20:29,13/12/2024 20:35,13/12/2024 20:50,3.97,15,2029,completed,4.3,30,1.2
R36174,U0155,D0018,-1.952741,30.063986,-1.944127,30.088641,21/09/2024 15:05,21/09/2024 15:09,21/09/2024 15:18,2.9,9,1644,completed,3.7,13,1.2
R39102,U0116,D0045,-1.945148,30.087032,-1.967228,30.070912,10/07/2024 09:59,10/07/2024 10:06,10/07/2024 10:18,3.04,12,1412,cancelled,3.6,29,1
R28191,U0195,D0061,-1.921506,30.112304,-1.94255,30.081392,07/11/2024 09:49,07/11/2024 09:54,07/11/2024 10:07,4.16,13,1748,completed,3.9,20,1
R69914,U0017,D0015,-1.915737,30.082246,-1.98,30.109297,07/08/2024 09:15,07/08/2024 09:23,07/08/2024 09:47,7.75,24,5085,completed,3.6,11,1.8
R78951,U0140,D0065,-1.919675,30.103973,-1.98,30.11319,10/07/2024 07:22,10/07/2024 07:25,10/07/2024 07:47,6.79,22,5074,completed,4.5,3,2
R53583,U0035,D0006,-1.917583,30.092285,-1.974714,30.117955,22/12/2024 11:51,22/12/2024 11:54,22/12/2024 12:19,6.96,25,3106,completed,3.6,6,1.2
R36144,U0011,D0041,-1.951628,30.065046,-1.912426,30.090586,27/11/2024 09:55,27/11/2024 09:57,27/11/2024 10:17,5.2,20,2060,completed,3.9,25,1
R62431,U0191,D0057,-1.95042,30.051939,-1.96504,30.141789,22/09/2024 07:46,22/09/2024 07:49,22/09/2024 08:22,10.12,33,3536,completed,4.3,10,1
R52981,U0170,D0038,-1.948358,30.058818,-1.924964,30.117625,22/01/2024 17:39,22/01/2024 17:45,22/01/2024 18:09,7.03,24,2609,completed,3.6,20,1
R77251,U0192,D0021,-1.932421,30.089849,-1.970989,30.06902,30/04/2024 17:23,30/04/2024 17:25,30/04/2024 17:42,4.87,17,3530,completed,4.2,11,1.8
R20077,U0147,D0018,-1.913631,30.100393,-1.919006,30.083815,05/04/2024 18:58,05/04/2024 19:01,05/04/2024 19:07,1.94,6,1082,cancelled,4.6,6,1
R47431,U0178,D0063,-1.925828,30.103185,-1.940237,30.118414,14/02/2024 16:42,14/02/2024 16:45,14/02/2024 16:54,2.33,9,1199,completed,4.8,27,1
R93584,U0045,D0047,-1.918058,30.093216,-1.930778,30.079646,14/01/2024 18:23,14/01/2024 18:33,14/01/2024 18:38,2.07,5,1121,cancelled,3.6,12,1
R72739,U0135,D0053,-1.96982,30.070558,-1.965723,30.1172,14/12/2024 10:56,14/12/2024 11:06,14/12/2024 11:24,5.2,18,2060,completed,4.7,4,1
R17263,U0032,D0067,-1.975365,30.072163,-1.946651,30.057536,22/09/2024 08:16,22/09/2024 08:26,22/09/2024 08:37,3.58,11,2361,completed,4,17,1.5
R94015,U0044,D0076,-1.973261,30.119992,-1.963568,30.072402,15/10/2024 20:01,15/10/2024 20:03,15/10/2024 20:24,5.4,21,5300,completed,4.4,20,2.5
R84991,U0107,D0080,-1.931776,30.087729,-1.905729,30.078834,05/05/2024 18:19,05/05/2024 18:22,05/05/2024 18:34,3.06,12,1418,completed,4.2,15,1
R54589,U0156,D0019,-1.961253,30.140772,-1.922394,30.094092,08/07/2024 09:20,08/07/2024 09:29,08/07/2024 09:49,6.75,20,3030,completed,3.9,3,1.2
R60351,U0158,D0054,-1.919984,30.08194,-1.971462,30.100037,22/03/2024 22:29,22/03/2024 22:35,22/03/2024 22:55,6.07,20,2321,completed,4.9,16,1
R41552,U0056,D0075,-1.922191,30.089918,-1.938883,30.097468,28/08/2024 07:54,28/08/2024 08:02,28/08/2024 08:07,2.04,5,1112,completed,4.6,24,1
R15930,U0103,D0007,-1.972886,30.118852,-1.98,30.115068,08/10/2024 18:43,08/10/2024 18:46,08/10/2024 18:51,1,5,800,cancelled,4.1,25,1
R83116,U0094,D0019,-1.921578,30.102644,-1.919377,30.101417,30/08/2024 10:38,30/08/2024 10:48,30/08/2024 10:53,1,5,1200,cancelled,4,12,1.5
R49221,U0152,D0044,-1.911483,30.10134,-1.933203,30.105052,07/07/2024 07:26,07/07/2024 07:32,07/07/2024 07:43,2.45,11,2223,completed,4.8,20,1.8
R72205,U0068,D0075,-1.964458,30.119336,-1.930272,30.077064,13/11/2024 18:09,13/11/2024 18:14,13/11/2024 18:32,6.04,18,4162,completed,3.7,0,1.8
R64890,U0039,D0053,-1.919971,30.111784,-1.963454,30.068574,01/02/2024 22:13,01/02/2024 22:20,01/02/2024 22:46,6.81,26,3052,cancelled,4.3,10,1.2
R70249,U0137,D0044,-1.977186,30.120882,-1.912108,30.094858,15/05/2024 12:15,15/05/2024 12:25,15/05/2024 12:50,7.79,25,2837,completed,4.7,22,1
R74094,U0082,D0062,-1.908061,30.094726,-1.98,30.10895,12/12/2024 18:52,12/12/2024 18:56,12/12/2024 19:22,8.15,26,2945,completed,4.9,2,1
R67983,U0168,D0033,-1.912767,30.082617,-1.913072,30.113139,11/03/2024 19:37,11/03/2024 19:42,11/03/2024 19:51,3.39,9,1820,completed,3.8,7,1.2
R64172,U0085,D0061,-1.942917,30.115806,-1.963134,30.073511,31/08/2024 12:48,31/08/2024 12:55,31/08/2024 13:11,5.21,16,2063,completed,4.9,2,1
R40437,U0137,D0005,-1.968884,30.099813,-1.956286,30.070955,22/07/2024 11:59,22/07/2024 12:05,22/07/2024 12:19,3.5,14,1550,completed,3.9,19,1
R53914,U0073,D0059,-1.98,30.122017,-1.906383,30.097488,08/04/2024 16:10,08/04/2024 16:19,08/04/2024 16:49,8.63,30,5560,completed,3.8,23,1.8
R48669,U0146,D0025,-1.969768,30.105244,-1.964612,30.054708,04/04/2024 21:20,04/04/2024 21:25,04/04/2024 21:41,5.65,16,2195,completed,3.9,24,1
R53204,U0078,D0075,-1.971815,30.115753,-1.942219,30.089685,26/08/2024 17:43,26/08/2024 17:49,26/08/2024 18:05,4.38,16,2721,completed,4.9,9,1.5
R38947,U0057,D0018,-1.90872,30.089821,-1.972022,30.078231,29/08/2024 12:48,29/08/2024 12:51,29/08/2024 13:15,7.16,24,3178,cancelled,4.6,2,1.2
R24707,U0016,D0071,-1.910837,30.092398,-1.92275,30.110325,29/02/2024 21:05,29/02/2024 21:15,29/02/2024 21:23,2.39,8,1217,completed,4.2,16,1
R83912,U0015,D0072,-1.924428,30.118335,-1.944937,30.063933,23/10/2024 17:22,23/10/2024 17:25,23/10/2024 17:47,6.46,22,2438,cancelled,4.9,2,1
R71875,U0009,D0037,-1.958696,30.067253,-1.967347,30.107334,03/08/2024 17:28,03/08/2024 17:36,03/08/2024 17:51,4.56,15,3362,completed,4.9,27,1.8
R95660,U0090,D0016,-1.976711,30.099038,-1.97234,30.120357,12/01/2024 20:43,12/01/2024 20:53,12/01/2024 21:01,2.42,8,1226,completed,4.7,7,1
R30332,U0071,D0025,-1.930048,30.113708,-1.940743,30.10114,09/01/2024 07:06,09/01/2024 07:08,09/01/2024 07:15,1.83,7,1888,completed,4.6,1,1.8
R15798,U0103,D0057,-1.929524,30.08082,-1.98,30.115062,28/05/2024 19:36,28/05/2024 19:43,28/05/2024 20:04,6.78,21,2534,completed,5,16,1
R49387,U0071,D0008,-1.973925,30.121585,-1.965984,30.116835,10/09/2024 09:41,10/09/2024 09:49,10/09/2024 09:55,1.03,6,809,completed,4.5,13,1
R59343,U0048,D0069,-1.902411,30.078812,-1.921679,30.079892,30/01/2024 19:35,30/01/2024 19:39,30/01/2024 19:46,2.15,7,1145,completed,3.8,20,1
R68954,U0095,D0012,-1.98,30.113035,-1.91832,30.102633,07/02/2024 20:37,07/02/2024 20:47,07/02/2024 21:09,6.96,22,2588,completed,4.8,10,1
R12009,U0055,D0025,-1.928369,30.11813,-1.90474,30.080346,02/05/2024 15:24,02/05/2024 15:34,02/05/2024 15:52,4.95,18,1985,cancelled,3.9,16,1
R71080,U0026,D0061,-1.967069,30.133623,-1.919,30.10554,15/03/2024 18:59,15/03/2024 19:07,15/03/2024 19:27,6.19,20,2357,completed,4,12,1
R42208,U0128,D0071,-1.960786,30.134818,-1.951423,30.061834,23/08/2024 20:22,23/08/2024 20:26,23/08/2024 20:54,8.18,28,3545,completed,3.8,28,1.2
R94123,U0016,D0068,-1.937877,30.097691,-1.970771,30.043598,18/11/2024 19:09,18/11/2024 19:14,18/11/2024 19:38,7.04,24,2612,completed,3.6,20,1
R90808,U0124,D0063,-1.937485,30.085581,-1.937732,30.103555,01/10/2024 06:32,01/10/2024 06:40,01/10/2024 06:49,2,9,1100,completed,3.7,3,1
R41584,U0050,D0080,-1.906957,30.094277,-1.95665,30.055969,26/07/2024 13:44,26/07/2024 13:50,26/07/2024 14:14,6.98,24,2594,completed,4.5,27,1
R14152,U0024,D0052,-1.957157,30.044898,-1.937849,30.094742,12/09/2024 16:36,12/09/2024 16:39,12/09/2024 17:01,5.94,22,2282,cancelled,3.8,28,1
R84289,U0122,D0035,-1.942049,30.091486,-1.974312,30.04753,01/04/2024 16:01,01/04/2024 16:05,01/04/2024 16:27,6.06,22,4172,completed,4.7,29,1.8
R31292,U0145,D0031,-1.965167,30.118649,-1.959858,30.055836,18/12/2024 22:47,18/12/2024 22:49,18/12/2024 23:10,7.01,21,2603,completed,4.8,10,1
R90460,U0153,D0051,-1.962854,30.139537,-1.938791,30.08265,10/10/2024 19:11,10/10/2024 19:19,10/10/2024 19:39,6.86,20,3837,completed,3.9,7,1.5
R20752,U0069,D0020,-1.954166,30.049067,-1.976295,30.067083,06/06/2024 14:06,06/06/2024 14:09,06/06/2024 14:18,3.17,9,1741,completed,4.3,16,1.2
R13442,U0023,D0046,-1.978449,30.119551,-1.969181,30.037197,30/07/2024 07:46,30/07/2024 07:56,30/07/2024 08:29,9.21,33,3263,completed,4.4,5,1
R32216,U0036,D0035,-1.95011,30.053012,-1.956045,30.056738,04/09/2024 17:16,04/09/2024 17:25,04/09/2024 17:30,1,5,800,completed,4.2,4,1
R61864,U0086,D0080,-1.958956,30.05089,-1.959823,30.137417,31/10/2024 09:38,31/10/2024 09:43,31/10/2024 10:15,9.62,32,3386,completed,4.9,30,1
R92955,U0126,D0074,-1.926983,30.080064,-1.966713,30.128822,15/10/2024 18:11,15/10/2024 18:21,15/10/2024 18:42,6.99,21,5194,completed,4.2,22,2
R48185,U0178,D0009,-1.968773,30.059845,-1.911957,30.076466,04/08/2024 08:28,04/08/2024 08:37,04/08/2024 09:00,6.58,23,2969,cancelled,4.3,29,1.2
R64827,U0140,D0005,-1.913499,30.09663,-1.98,30.110972,06/12/2024 19:39,06/12/2024 19:47,06/12/2024 20:15,7.56,28,2768,completed,4.9,13,1
R22924,U0067,D0029,-1.911072,30.101003,-1.934463,30.097986,25/08/2024 22:09,25/08/2024 22:11,25/08/2024 22:20,2.62,9,1286,completed,4.1,30,1
R28569,U0090,D0040,-1.960452,30.135338,-1.930427,30.113562,22/12/2024 08:19,22/12/2024 08:22,22/12/2024 08:33,4.12,11,1736,cancelled,4.5,21,1
R41970,U0133,D0023,-1.98,30.113822,-1.975607,30.109764,18/11/2024 19:42,18/11/2024 19:50,18/11/2024 19:55,1,5,1200,completed,4.8,14,1.5
R60965,U0002,D0028,-1.915963,30.11494,-1.961999,30.051628,01/10/2024 09:12,01/10/2024 09:15,01/10/2024 09:42,8.7,27,3732,completed,4.3,20,1.2
R60939,U0157,D0051,-1.970433,30.123528,-1.933122,30.12002,27/12/2024 08:43,27/12/2024 08:50,27/12/2024 09:02,4.17,12,1751,completed,3.7,11,1
R76954,U0100,D0054,-1.928803,30.098769,-1.970213,30.075598,26/11/2024 11:35,26/11/2024 11:44,26/11/2024 12:01,5.28,17,2084,completed,4,14,1
R57059,U0003,D0063,-1.964957,30.082421,-1.919913,30.10992,16/12/2024 20:31,16/12/2024 20:34,16/12/2024 20:54,5.87,20,4522,completed,3.8,1,2
R80465,U0074,D0022,-1.92412,30.124255,-1.967204,30.111811,28/02/2024 18:52,28/02/2024 19:02,28/02/2024 19:21,4.99,19,1997,completed,4.6,14,1
R65725,U0027,D0032,-1.950804,30.057577,-1.939932,30.094025,01/03/2024 13:13,01/03/2024 13:20,01/03/2024 13:37,4.23,17,2654,completed,4.4,5,1.5
R37082,U0053,D0008,-1.967484,30.11955,-1.920306,30.097664,29/05/2024 09:54,29/05/2024 09:57,29/05/2024 10:14,5.78,17,4468,completed,4.7,29,2
R46349,U0168,D0017,-1.97566,30.072154,-1.929039,30.080497,20/07/2024 14:40,20/07/2024 14:48,20/07/2024 15:06,5.27,18,3122,completed,4.7,24,1.5
R77582,U0192,D0036,-1.907796,30.087237,-1.93596,30.124386,17/02/2024 20:40,17/02/2024 20:47,17/02/2024 21:07,5.18,20,2465,completed,4.1,30,1.2
R37767,U0127,D0035,-1.967596,30.136247,-1.948942,30.059765,24/06/2024 07:02,24/06/2024 07:11,24/06/2024 07:37,8.75,26,3125,cancelled,4.2,0,1
R66072,U0052,D0017,-1.944009,30.066026,-1.98,30.102767,12/02/2024 19:10,12/02/2024 19:18,12/02/2024 19:38,5.72,20,3989,completed,4.5,7,1.8
R21953,U0181,D0013,-1.938371,30.081123,-1.924381,30.11288,05/01/2024 09:52,05/01/2024 10:00,05/01/2024 10:15,3.86,15,1990,completed,3.6,12,1.2
